id,placerelation,place
14945,70,179
14943,70,191
14946,70,206
14947,71,111
14948,71,116
14949,71,186
14951,72,80
14952,72,136
14950,72,182
14953,72,214
14954,72,218
14957,73,89
14955,73,122
14958,73,192
14956,73,215
14959,74,111
14960,74,186
14962,75,80
14961,75,128
14963,75,207
14964,75,218
14968,76,66
14966,76,88
14967,76,142
14965,76,182
14969,77,116
14970,78,120
14971,79,102
14972,79,189
14975,80,56
14976,80,77
14978,80,85
14977,80,161
14974,80,198
14973,80,212
14982,81,66
14981,81,143
14980,81,176
14979,81,182
14984,82,64
14985,82,94
14983,82,159
14987,83,51
14989,83,74
14988,83,184
14986,83,196
14991,84,156
14990,84,222
14993,85,110
14992,85,209
14995,86,56
14996,86,75
14998,86,102
14994,86,152
14999,86,161
14997,86,187
15001,87,56
15000,87,150
15003,87,187
15002,87,223
15006,88,65
15005,88,101
15004,88,195
15008,89,80
15007,89,182
15011,90,51
15012,90,70
15009,90,108
15010,90,196
15014,91,56
15013,91,203
15015,91,223
15016,92,120
15020,92,149
15017,92,200
15019,92,222
15018,92,224
15022,93,57
15024,93,71
15021,93,120
15023,93,222
15025,94,80
15026,94,109
15028,95,106
15027,95,132
15031,96,56
15034,96,67
15033,96,75
15032,96,77
15030,96,141
15029,96,150
15035,96,162
15037,97,67
15036,97,77
15038,97,125
15039,97,161
15041,98,93
15040,98,182
15042,98,205
15043,99,119
15044,99,186
15045,99,193
15046,100,54
15047,100,80
15048,100,109
15049,100,112
15051,101,130
15050,101,132
15052,102,110
15054,103,58
15053,103,69
15055,103,72
15056,104,69
15059,104,72
15058,104,86
15060,104,107
15057,104,130
15066,105,66
15067,105,79
15062,105,142
15063,105,159
15065,105,182
15064,105,190
15061,105,216
15068,106,203
15069,107,186
15072,108,74
